Date,Sales
2020-01-31,112.45
2020-02-29,103.64
2020-03-31,126.14
2020-04-30,149.99
2020-05-31,134.34
2020-06-30,135.06
2020-07-31,162.97
2020-08-31,151.51
2020-09-30,143.67
2020-10-31,169.57
2020-11-30,165.19
2020-12-31,175.87
2021-01-31,177.2
2021-02-28,145.59
2021-03-31,159.13
2021-04-30,187.28
2021-05-31,191.24
2021-06-30,211.86
2021-07-31,194.24
2021-08-31,187.39
2021-09-30,241.27
2021-10-31,226.61
2021-11-30,241.73
2021-12-31,230.06
2022-01-31,233.98
2022-02-28,244.52
2022-03-31,236.31
2022-04-30,269.92
2022-05-31,265.99
2022-06-30,271.34
2022-07-31,267.4
2022-08-31,304.93
2022-09-30,287.65
2022-10-31,282.71
2022-11-30,321.62
2022-12-31,301.69
